python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00324 07043259.wav 0:00:04.666667 205800
00325 07005151.wav 0:00:04.672472 206056
00326 07023258.wav 0:00:04.673560 206104
00327 07009125.wav 0:00:04.680000 206388
00328 07011059.wav 0:00:04.680000 206388
00329 07037326.wav 0:00:04.680000 206388
00330 07023358.wav 0:00:04.685782 206643
00331 07023257.wav 0:00:04.694785 207040
00332 07022379.wav 0:00:04.699274 207238
00333 07042174.wav 0:00:04.700726 207302
00334 07022484.wav 0:00:04.704308 207460
00335 07043276.wav 0:00:04.706667 207564
00336 07022386.wav 0:00:04.708571 207648
00337 07027114.wav 0:00:04.710794 207746
00338 07027072.wav 0:00:04.712562 207824
00339 07022392.wav 0:00:04.716848 208013
00340 07011065.wav 0:00:04.720000 208152
00341 07017146.wav 0:00:04.720000 208152
00342 07019169.wav 0:00:04.720000 208152
00343 07051040.wav 0:00:04.720000 208152
00344 07037541.wav 0:00:04.724898 208368
00345 07026149.wav 0:00:04.726712 208448
00346 07010079.wav 0:00:04.740000 209034
00347 07014100.wav 0:00:04.740000 209034
00348 07022488.wav 0:00:04.741406 209096
00349 07037289.wav 0:00:04.750385 209492
00350 07043047.wav 0:00:04.753333 209622
00351 07027090.wav 0:00:04.753469 209628
00352 07022418.wav 0:00:04.761020 209961
00353 07018029.wav 0:00:04.761179 209968
00354 07022486.wav 0:00:04.764603 210119
00355 07026141.wav 0:00:04.768435 210288
00356 07005170.wav 0:00:04.771542 210425
00357 07022483.wav 0:00:04.784308 210988
00358 07027075.wav 0:00:04.797460 211568
00359 07043260.wav 0:00:04.806667 211974
00360 07005041.wav 0:00:04.808050 212035
00361 07023368.wav 0:00:04.819592 212544
00362 07018025.wav 0:00:04.820000 212562
00363 07043178.wav 0:00:04.833333 213150
00364 07004311.wav 0:00:04.837551 213336
00365 07041130.wav 0:00:04.840000 213444
00366 07055186.wav 0:00:04.840000 213444
00367 07027077.wav 0:00:04.843084 213580
00368 07070120.wav 0:00:04.853333 214032
00369 07011053.wav 0:00:04.880000 215208
00370 07012040.wav 0:00:04.880000 215208
00371 07013133.wav 0:00:04.880000 215208
00372 07042179.wav 0:00:04.886667 215502
00373 07026152.wav 0:00:04.892154 215744
00374 07036140.wav 0:00:04.895057 215872
00375 07027082.wav 0:00:04.895782 215904
00376 07043139.wav 0:00:04.900000 216090
00377 07043196.wav 0:00:04.900000 216090
00378 07022472.wav 0:00:04.917891 216879
00379 07027079.wav 0:00:04.917914 216880
00380 07011052.wav 0:00:04.920000 216972
00381 07045179.wav 0:00:04.920000 216972
00382 07027078.wav 0:00:04.923084 217108
00383 07037286.wav 0:00:04.924989 217192
00384 07043009.wav 0:00:04.933333 217560
00385 07023261.wav 0:00:04.940590 217880
00386 07022391.wav 0:00:04.946395 218136
00387 07018081.wav 0:00:04.960000 218736
00388 07022314.wav 0:00:04.963991 218912
00389 07018030.wav 0:00:04.974014 219354
00390 07037551.wav 0:00:04.980000 219618
